ParticipantID,ParticipantAge,Concept,Transformation,Variation,Task,Score,ReactionTime
4,4,Reflection,ReflectX,27,extra,0,25048
4,4,Size,Resize2XY,19,cross,1,14830
4,4,Size,Resize2XY,19,within,1,5698
4,4,Size,Resize2XY,19,extra,1,44332
4,4,Rotation,2DRotation180,17,cross,0,37863
4,4,Rotation,2DRotation180,17,extra,1,35900
4,4,Reflection,ReflectY,40,cross,0,27049
4,4,Reflection,ReflectY,40,extra,0,52647
4,4,Rotation,2DRotation-90,44,cross,0,20648
4,4,Rotation,2DRotation-90,44,extra,0,14964
4,4,Number,Counting-1,11,cross,1,28911
4,4,Number,Counting-1,11,within,1,11665
4,4,Number,Counting-1,11,extra,1,48631
4,4,Size,Resize0.5XY,15,cross,1,28948
4,4,Size,Resize0.5XY,15,within,1,12433
4,4,Size,Resize0.5XY,15,extra,1,155600
4,4,Color,ColourRed,7,cross,1,17662
4,4,Color,ColourRed,7,within,1,9415
4,4,Color,ColourRed,7,extra,1,19598
5,4,Number,Counting-2,38,cross,1,27886
5,4,Number,Counting-2,38,within,1,9529
5,4,Number,Counting-2,38,extra,1,22785
5,4,Color,ColourGreen,36,cross,1,15848
5,4,Color,ColourGreen,36,within,1,6150
5,4,Color,ColourGreen,36,extra,1,16801
5,4,Reflection,ReflectX,16,cross,1,29980
5,4,Reflection,ReflectX,16,within,0,16550
5,4,Reflection,ReflectX,16,extra,1,12919
5,4,Reflection,ReflectY,25,cross,1,22549
5,4,Reflection,ReflectY,25,within,1,19870
5,4,Reflection,ReflectY,25,extra,1,15498
5,4,Size,Resize2XY,3,cross,1,17654
5,4,Size,Resize2XY,3,within,1,7612
5,4,Size,Resize2XY,3,extra,0,52352
5,4,Rotation,2DRotation-90,44,cross,1,8949
5,4,Rotation,2DRotation-90,44,within,1,8983
5,4,Rotation,2DRotation-90,44,extra,0,13566
5,4,Color,ColourRed,49,cross,1,10831
5,4,Color,ColourRed,49,within,1,10069
5,4,Color,ColourRed,49,extra,1,13234
5,4,Number,Counting+1,8,cross,1,10547
5,4,Number,Counting+1,8,within,1,10068
5,4,Number,Counting+1,8,extra,1,14499
5,4,Size,Resize0.5XY,27,cross,1,9882
5,4,Size,Resize0.5XY,27,within,1,4501
5,4,Size,Resize0.5XY,27,extra,1,19251
5,4,Rotation,2DRotation180,10,cross,1,11762
5,4,Rotation,2DRotation180,10,within,1,2067
5,4,Rotation,2DRotation180,10,extra,1,22517
6,5,Reflection,ReflectY,29,cross,1,36516
6,5,Reflection,ReflectY,29,within,1,13200
6,5,Reflection,ReflectY,29,extra,1,51132
6,5,Reflection,ReflectX,6,cross,1,25600
6,5,Reflection,ReflectX,6,within,1,20567
6,5,Reflection,ReflectX,6,extra,1,25849
6,5,Number,Counting-2,21,cross,1,12482
6,5,Number,Counting-2,21,within,0,24318
6,5,Number,Counting-2,21,extra,0,12335
6,5,Size,Resize2XY,49,cross,1,17782
6,5,Size,Resize2XY,49,within,1,4585
6,5,Size,Resize2XY,49,extra,1,9550
6,5,Number,Counting-1,47,cross,1,35030
6,5,Number,Counting-1,47,within,0,11451
6,5,Number,Counting-1,47,extra,0,20849
6,5,Color,ColourRed,26,cross,0,14918
6,5,Color,ColourRed,26,extra,1,37550
6,5,Rotation,2DRotation180,46,cross,1,14284
6,5,Rotation,2DRotation180,46,within,1,10968
6,5,Rotation,2DRotation180,46,extra,1,20015
6,5,Color,ColourGreen,38,cross,1,8484
6,5,Color,ColourGreen,38,within,1,10417
6,5,Color,ColourGreen,38,extra,1,26733
6,5,Rotation,2DRotation+90,30,cross,1,21900
6,5,Rotation,2DRotation+90,30,within,0,12066
6,5,Rotation,2DRotation+90,30,extra,0,21000
6,5,Size,Resize0.5XY,33,cross,1,10166
6,5,Size,Resize0.5XY,33,within,1,8515
6,5,Size,Resize0.5XY,33,extra,0,27816
7,5,Reflection,ReflectX,33,cross,1,40905
7,5,Reflection,ReflectX,33,within,1,2258
7,5,Reflection,ReflectX,33,extra,0,13260
7,5,Number,Counting+1,46,cross,1,27696
7,5,Number,Counting+1,46,within,1,10520
7,5,Number,Counting+1,46,extra,1,12142
7,5,Number,Counting-2,10,cross,1,14974
7,5,Number,Counting-2,10,within,0,14572
7,5,Number,Counting-2,10,extra,1,9933
7,5,Rotation,2DRotation180,44,cross,1,18434
7,5,Rotation,2DRotation180,44,within,1,11075
7,5,Rotation,2DRotation180,44,extra,1,19129
7,5,Size,Resize2XY,26,cross,1,17399
7,5,Size,Resize2XY,26,within,1,7331
7,5,Size,Resize2XY,26,extra,1,10635
7,5,Color,ColourRed,16,cross,1,14102
7,5,Color,ColourRed,16,within,1,9305
7,5,Color,ColourRed,16,extra,1,7000
7,5,Size,Resize0.5XY,34,cross,1,15043
7,5,Size,Resize0.5XY,34,within,0,10957
7,5,Size,Resize0.5XY,34,extra,1,5872
7,5,Reflection,ReflectY,17,cross,0,20438
7,5,Reflection,ReflectY,17,extra,1,11744
7,5,Color,ColourBlue,43,cross,1,24422
7,5,Color,ColourBlue,43,within,1,8993
7,5,Color,ColourBlue,43,extra,1,7775
7,5,Rotation,2DRotation-90,24,cross,1,14836
7,5,Rotation,2DRotation-90,24,within,1,6492
7,5,Rotation,2DRotation-90,24,extra,0,8209
8,5,Reflection,ReflectY,4,cross,0,18662
8,5,Reflection,ReflectY,4,extra,0,9655
8,5,Color,ColourGreen,26,cross,0,9048
8,5,Color,ColourGreen,26,extra,1,5272
8,5,Size,Resize0.5XY,45,cross,1,8542
8,5,Size,Resize0.5XY,45,within,0,7623
8,5,Size,Resize0.5XY,45,extra,0,7345
8,5,Reflection,ReflectX,29,cross,0,7020
8,5,Reflection,ReflectX,29,extra,1,12148
8,5,Rotation,2DRotation-90,12,cross,1,7845
8,5,Rotation,2DRotation-90,12,within,0,8867
8,5,Rotation,2DRotation-90,12,extra,1,5397
8,5,Number,Counting+1,8,cross,1,7282
8,5,Number,Counting+1,8,within,1,9060
8,5,Number,Counting+1,8,extra,1,6301
8,5,Size,Resize2XY,44,cross,1,8306
8,5,Size,Resize2XY,44,within,1,3536
8,5,Size,Resize2XY,44,extra,1,3223
8,5,Rotation,2DRotation180,40,cross,0,5784
8,5,Rotation,2DRotation180,40,extra,0,11464
8,5,Number,Counting-1,13,cross,0,11435
8,5,Number,Counting-1,13,extra,0,6649
8,5,Color,ColourBlue,46,cross,1,5476
8,5,Color,ColourBlue,46,within,1,5472
8,5,Color,ColourBlue,46,extra,0,15936
9,4,Color,ColourRed,6,cross,1,18898
9,4,Color,ColourRed,6,within,1,9415
9,4,Color,ColourRed,6,extra,1,16232
9,4,Rotation,2DRotation-90,39,cross,0,57335
9,4,Rotation,2DRotation-90,39,extra,1,14830
9,4,Reflection,ReflectY,16,cross,1,31467
9,4,Reflection,ReflectY,16,within,1,12165
9,4,Reflection,ReflectY,16,extra,0,21467
9,4,Number,Counting+2,28,cross,1,15618
9,4,Number,Counting+2,28,within,1,17416
9,4,Number,Counting+2,28,extra,1,60984
9,4,Number,Counting+1,34,cross,1,12883
9,4,Number,Counting+1,34,within,1,8765
9,4,Number,Counting+1,34,extra,1,14435
9,4,Size,Resize0.5XY,20,cross,1,12350
9,4,Size,Resize0.5XY,20,within,1,8650
9,4,Size,Resize0.5XY,20,extra,1,20565
9,4,Color,ColourGreen,33,cross,1,8499
9,4,Color,ColourGreen,33,within,1,10216
9,4,Color,ColourGreen,33,extra,1,14799
9,4,Rotation,2DRotation180,47,cross,1,11335
9,4,Rotation,2DRotation180,47,within,0,16702
9,4,Rotation,2DRotation180,47,extra,0,20398
9,4,Reflection,ReflectX,10,cross,1,14416
9,4,Reflection,ReflectX,10,within,1,14268
9,4,Reflection,ReflectX,10,extra,1,30598
9,4,Size,Resize2XY,26,cross,1,10282
9,4,Size,Resize2XY,26,within,1,6801
9,4,Size,Resize2XY,26,extra,1,21799
10,4,Size,Resize2XY,14,cross,1,12446
10,4,Size,Resize2XY,14,within,1,4214
10,4,Size,Resize2XY,14,extra,1,82931
10,4,Rotation,2DRotation180,10,cross,1,11714
10,4,Rotation,2DRotation180,10,within,1,1532
10,4,Rotation,2DRotation180,10,extra,1,18614
10,4,Color,ColourRed,24,cross,1,14764
10,4,Color,ColourRed,24,within,1,2116
10,4,Color,ColourRed,24,extra,1,12696
10,4,Number,Counting+2,19,cross,1,9963
10,4,Number,Counting+2,19,within,1,4233
10,4,Number,Counting+2,19,extra,1,10712
10,4,Reflection,ReflectY,1,cross,1,13014
10,4,Reflection,ReflectY,1,within,1,8664
10,4,Reflection,ReflectY,1,extra,1,12548
10,4,Rotation,2DRotation-90,42,cross,1,41428
10,4,Rotation,2DRotation-90,42,within,1,10298
10,4,Rotation,2DRotation-90,42,extra,0,47064
10,4,Size,Resize0.5XY,0,cross,1,10730
10,4,Size,Resize0.5XY,0,within,1,4015
10,4,Size,Resize0.5XY,0,extra,1,11398
10,4,Number,Counting+1,35,cross,1,19180
10,4,Number,Counting+1,35,within,1,2065
10,4,Number,Counting+1,35,extra,1,13166
10,4,Color,ColourGreen,27,cross,1,8812
10,4,Color,ColourGreen,27,within,1,1248
10,4,Color,ColourGreen,27,extra,1,7947
10,4,Reflection,ReflectX,17,cross,1,16763
10,4,Reflection,ReflectX,17,within,1,1381
10,4,Reflection,ReflectX,17,extra,1,7416
11,4,Color,ColourBlue,17,cross,1,15776
11,4,Color,ColourBlue,17,within,1,6366
11,4,Color,ColourBlue,17,extra,1,7062
11,4,Reflection,ReflectY,42,cross,0,9016
11,4,Reflection,ReflectY,42,extra,1,5376
11,4,Number,Counting-2,12,cross,1,10631
11,4,Number,Counting-2,12,within,1,8934
11,4,Number,Counting-2,12,extra,1,8249
11,4,Color,ColourRed,10,cross,1,10188
11,4,Color,ColourRed,10,within,1,4220
11,4,Color,ColourRed,10,extra,1,9697
11,4,Number,Counting+1,40,cross,1,12569
11,4,Number,Counting+1,40,within,0,15643
11,4,Number,Counting+1,40,extra,0,9129
11,4,Reflection,ReflectX,28,cross,1,12284
11,4,Reflection,ReflectX,28,within,1,8300
11,4,Reflection,ReflectX,28,extra,1,4702
11,4,Size,Resize2XY,11,cross,1,10276
11,4,Size,Resize2XY,11,within,1,10992
11,4,Size,Resize2XY,11,extra,1,5244
11,4,Rotation,2DRotation+90,8,cross,1,10265
11,4,Rotation,2DRotation+90,8,within,1,6229
11,4,Rotation,2DRotation+90,8,extra,1,7645
11,4,Rotation,2DRotation180,39,cross,1,13605
11,4,Rotation,2DRotation180,39,within,1,733
11,4,Rotation,2DRotation180,39,extra,1,12590
11,4,Size,Resize0.5XY,4,cross,1,6808
11,4,Size,Resize0.5XY,4,within,1,6346
11,4,Size,Resize0.5XY,4,extra,1,7141
12,4,Size,Resize2XY,23,cross,1,19488
12,4,Size,Resize2XY,23,within,0,11689
12,4,Size,Resize2XY,23,extra,1,6957
12,4,Number,Counting-2,34,cross,0,10658
12,4,Number,Counting-2,34,extra,0,28021
12,4,Number,Counting+2,16,cross,0,16770
12,4,Number,Counting+2,16,extra,0,18092
12,4,Color,ColourBlue,49,cross,1,35304
12,4,Color,ColourBlue,49,within,1,17280
12,4,Color,ColourBlue,49,extra,1,9035
12,4,Size,Resize0.5XY,13,cross,0,22966
12,4,Size,Resize0.5XY,13,extra,1,6155
12,4,Reflection,ReflectX,17,cross,1,10596
12,4,Reflection,ReflectX,17,within,1,2800
12,4,Reflection,ReflectX,17,extra,1,6704
12,4,Reflection,ReflectY,30,cross,1,12387
12,4,Reflection,ReflectY,30,within,1,5150
12,4,Reflection,ReflectY,30,extra,1,9684
12,4,Color,ColourGreen,27,cross,1,10158
12,4,Color,ColourGreen,27,within,1,6702
12,4,Color,ColourGreen,27,extra,1,6487
12,4,Rotation,2DRotation180,40,cross,1,13213
12,4,Rotation,2DRotation180,40,within,1,7246
12,4,Rotation,2DRotation180,40,extra,0,6416
12,4,Rotation,2DRotation-90,43,cross,1,11084
12,4,Rotation,2DRotation-90,43,within,0,1410
12,4,Rotation,2DRotation-90,43,extra,0,7029
13,3,Number,Counting-2,49,cross,1,14497
13,3,Number,Counting-2,49,within,1,14199
13,3,Number,Counting-2,49,extra,1,15565
13,3,Color,ColourBlue,7,cross,1,15698
13,3,Color,ColourBlue,7,within,1,6347
13,3,Color,ColourBlue,7,extra,1,10014
13,3,Size,Resize2XY,27,cross,1,9931
13,3,Size,Resize2XY,27,within,1,1265
13,3,Size,Resize2XY,27,extra,1,25064
13,3,Size,Resize0.5XY,13,cross,1,14382
13,3,Size,Resize0.5XY,13,within,1,930
13,3,Size,Resize0.5XY,13,extra,1,34481
13,3,Rotation,2DRotation-90,30,cross,0,15647
13,3,Rotation,2DRotation-90,30,extra,0,12697
13,3,Reflection,ReflectY,33,cross,1,34314
13,3,Reflection,ReflectY,33,within,1,15781
13,3,Reflection,ReflectY,33,extra,1,20048
13,3,Rotation,2DRotation+90,8,cross,0,22965
13,3,Rotation,2DRotation+90,8,extra,1,9932
13,3,Reflection,ReflectX,39,cross,1,33082
13,3,Reflection,ReflectX,39,within,0,9097
13,3,Reflection,ReflectX,39,extra,1,9514
13,3,Color,ColourRed,20,cross,1,30197
13,3,Color,ColourRed,20,within,1,1333
13,3,Color,ColourRed,20,extra,1,20265
13,3,Number,Counting+1,35,cross,1,10114
13,3,Number,Counting+1,35,within,1,4698
13,3,Number,Counting+1,35,extra,1,12647
14,5,Reflection,ReflectY,40,cross,1,28583
14,5,Reflection,ReflectY,40,within,1,12715
14,5,Reflection,ReflectY,40,extra,0,24950
14,5,Number,Counting+1,10,cross,1,12567
14,5,Number,Counting+1,10,within,1,8532
14,5,Number,Counting+1,10,extra,1,23903
14,5,Size,Resize2XY,39,cross,1,9215
14,5,Size,Resize2XY,39,within,1,4433
14,5,Size,Resize2XY,39,extra,1,9118
14,5,Color,ColourGreen,28,cross,1,16199
14,5,Color,ColourGreen,28,within,1,6866
14,5,Color,ColourGreen,28,extra,1,9949
14,5,Rotation,2DRotation-90,1,cross,1,11250
14,5,Rotation,2DRotation-90,1,within,1,7165
14,5,Rotation,2DRotation-90,1,extra,1,23034
14,5,Rotation,2DRotation+90,17,cross,1,14399
14,5,Rotation,2DRotation+90,17,within,1,5868
14,5,Rotation,2DRotation+90,17,extra,1,16598
14,5,Color,ColourBlue,31,cross,1,11749
14,5,Color,ColourBlue,31,within,1,5899
14,5,Color,ColourBlue,31,extra,1,13402
14,5,Number,Counting-1,45,cross,1,9085
14,5,Number,Counting-1,45,within,1,11098
14,5,Number,Counting-1,45,extra,0,27088
14,5,Reflection,ReflectX,22,cross,1,28069
14,5,Reflection,ReflectX,22,within,1,12600
14,5,Reflection,ReflectX,22,extra,1,9064
14,5,Size,Resize0.5XY,5,cross,1,8981
14,5,Size,Resize0.5XY,5,within,0,11067
14,5,Size,Resize0.5XY,5,extra,0,13367
15,4,Rotation,2DRotation-90,5,cross,0,21077
15,4,Rotation,2DRotation-90,5,extra,1,18729
15,4,Size,Resize2XY,11,cross,1,26465
15,4,Size,Resize2XY,11,within,1,5365
15,4,Size,Resize2XY,11,extra,1,11082
15,4,Color,ColourRed,2,cross,1,16080
15,4,Color,ColourRed,2,within,1,6031
15,4,Color,ColourRed,2,extra,1,11514
15,4,Size,Resize0.5XY,3,cross,1,12797
15,4,Size,Resize0.5XY,3,within,1,6031
15,4,Size,Resize0.5XY,3,extra,1,9248
15,4,Rotation,2DRotation+90,37,cross,1,11781
15,4,Rotation,2DRotation+90,37,within,1,19697
15,4,Rotation,2DRotation+90,37,extra,1,11847
15,4,Color,ColourGreen,48,cross,1,12163
15,4,Color,ColourGreen,48,within,1,6915
15,4,Color,ColourGreen,48,extra,1,7948
15,4,Reflection,ReflectY,21,cross,1,42830
15,4,Reflection,ReflectY,21,within,1,8599
15,4,Reflection,ReflectY,21,extra,1,13966
15,4,Reflection,ReflectX,15,cross,1,11631
15,4,Reflection,ReflectX,15,within,1,8314
15,4,Reflection,ReflectX,15,extra,1,9748
15,4,Number,Counting+2,1,cross,1,11631
15,4,Number,Counting+2,1,within,1,26016
15,4,Number,Counting+2,1,extra,1,9648
15,4,Number,Counting+1,10,cross,1,11115
15,4,Number,Counting+1,10,within,1,6248
15,4,Number,Counting+1,10,extra,1,12931
16,4,Size,Resize2XY,29,cross,1,20896
16,4,Size,Resize2XY,29,within,1,11331
16,4,Size,Resize2XY,29,extra,1,48148
16,4,Rotation,2DRotation180,32,cross,1,69148
16,4,Rotation,2DRotation180,32,within,1,2047
16,4,Rotation,2DRotation180,32,extra,1,34547
16,4,Reflection,ReflectY,28,cross,0,41814
16,4,Reflection,ReflectY,28,extra,0,104014
16,4,Rotation,2DRotation+90,13,cross,1,12164
16,4,Rotation,2DRotation+90,13,within,0,8548
16,4,Rotation,2DRotation+90,13,extra,1,16864
16,4,Reflection,ReflectX,23,cross,0,81763
16,4,Reflection,ReflectX,23,extra,1,12830
16,4,Size,Resize0.5XY,20,cross,1,29264
16,4,Size,Resize0.5XY,20,within,1,6297
16,4,Size,Resize0.5XY,20,extra,1,18364
16,4,Color,ColourBlue,3,cross,1,13977
16,4,Color,ColourBlue,3,within,1,5947
16,4,Color,ColourBlue,3,extra,1,51481
16,4,Number,Counting+1,27,cross,1,19030
16,4,Number,Counting+1,27,within,1,7281
16,4,Number,Counting+1,27,extra,0,132666
16,4,Color,ColourGreen,37,cross,1,92760
16,4,Color,ColourGreen,37,within,1,6829
16,4,Color,ColourGreen,37,extra,1,12982
16,4,Number,Counting+2,34,cross,1,15114
16,4,Number,Counting+2,34,within,1,64800
16,4,Number,Counting+2,34,extra,1,17581
17,4,Number,Counting-2,36,cross,1,26299
17,4,Number,Counting-2,36,within,0,11470
17,4,Number,Counting-2,36,extra,1,13222
17,4,Color,ColourRed,20,cross,0,16922
17,4,Color,ColourRed,20,extra,1,11053
17,4,Reflection,ReflectY,34,cross,0,17266
17,4,Reflection,ReflectY,34,extra,1,23382
17,4,Reflection,ReflectX,1,cross,0,10321
17,4,Reflection,ReflectX,1,extra,1,11895
17,4,Size,Resize2XY,13,cross,0,11484
17,4,Size,Resize2XY,13,extra,1,5486
17,4,Number,Counting-1,40,cross,1,11207
17,4,Number,Counting-1,40,within,1,8103
17,4,Number,Counting-1,40,extra,0,9634
17,4,Size,Resize0.5XY,4,cross,1,8203
17,4,Size,Resize0.5XY,4,within,0,5220
17,4,Size,Resize0.5XY,4,extra,1,6962
17,4,Rotation,2DRotation180,32,cross,1,7796
17,4,Rotation,2DRotation180,32,within,1,4682
17,4,Rotation,2DRotation180,32,extra,0,8224
17,4,Color,ColourBlue,33,cross,1,8553
17,4,Color,ColourBlue,33,within,1,5172
17,4,Color,ColourBlue,33,extra,1,4127
17,4,Rotation,2DRotation-90,48,cross,0,7359
17,4,Rotation,2DRotation-90,48,extra,0,4181
18,7,Number,Counting+1,27,cross,1,30075
18,7,Number,Counting+1,27,within,1,15197
18,7,Number,Counting+1,27,extra,1,35640
18,7,Rotation,2DRotation-90,19,cross,1,22150
18,7,Rotation,2DRotation-90,19,within,1,9602
18,7,Rotation,2DRotation-90,19,extra,1,24691
18,7,Size,Resize2XY,3,cross,1,24890
18,7,Size,Resize2XY,3,within,1,8821
18,7,Size,Resize2XY,3,extra,1,12009
18,7,Reflection,ReflectY,5,cross,1,18790
18,7,Reflection,ReflectY,5,within,1,13230
18,7,Reflection,ReflectY,5,extra,1,12371
18,7,Rotation,2DRotation+90,26,cross,1,14715
18,7,Rotation,2DRotation+90,26,within,1,8358
18,7,Rotation,2DRotation+90,26,extra,1,11147
18,7,Color,ColourGreen,24,cross,1,16731
18,7,Color,ColourGreen,24,within,1,5948
18,7,Color,ColourGreen,24,extra,1,12932
18,7,Reflection,ReflectX,1,cross,1,11169
18,7,Reflection,ReflectX,1,within,1,9287
18,7,Reflection,ReflectX,1,extra,1,10133
18,7,Rotation,2DRotation180,12,cross,1,11723
18,7,Rotation,2DRotation180,12,within,1,20870
18,7,Rotation,2DRotation180,12,extra,1,8366
18,7,Number,Counting+2,16,cross,1,13060
18,7,Number,Counting+2,16,within,1,11540
18,7,Number,Counting+2,16,extra,1,18119
18,7,Number,Counting-2,2,cross,1,13815
18,7,Number,Counting-2,2,within,1,9607
18,7,Number,Counting-2,2,extra,1,8412
18,7,Number,Counting-1,9,cross,1,10731
18,7,Number,Counting-1,9,within,1,13102
18,7,Number,Counting-1,9,extra,1,8614
18,7,Color,ColourBlue,9,cross,1,14434
18,7,Color,ColourBlue,9,within,1,7197
18,7,Color,ColourBlue,9,extra,1,6524
18,7,Color,ColourRed,34,cross,1,11963
18,7,Color,ColourRed,34,within,1,5376
18,7,Color,ColourRed,34,extra,1,7712
18,7,Size,Resize0.5XY,32,cross,1,11460
18,7,Size,Resize0.5XY,32,within,1,4944
18,7,Size,Resize0.5XY,32,extra,1,10184
19,7,Reflection,ReflectY,20,cross,1,10813
19,7,Reflection,ReflectY,20,within,1,7997
19,7,Reflection,ReflectY,20,extra,1,8647
19,7,Color,ColourRed,38,cross,1,5314
19,7,Color,ColourRed,38,within,1,7182
19,7,Color,ColourRed,38,extra,1,6749
19,7,Number,Counting+2,10,cross,1,8865
19,7,Number,Counting+2,10,within,1,6899
19,7,Number,Counting+2,10,extra,1,5715
19,7,Rotation,2DRotation180,6,cross,1,13782
19,7,Rotation,2DRotation180,6,within,1,8282
19,7,Rotation,2DRotation180,6,extra,1,8531
19,7,Size,Resize0.5XY,40,cross,1,5131
19,7,Size,Resize0.5XY,40,within,1,4098
19,7,Size,Resize0.5XY,40,extra,1,6165
19,7,Number,Counting+1,33,cross,1,8914
19,7,Number,Counting+1,33,within,1,6065
19,7,Number,Counting+1,33,extra,1,5966
19,7,Rotation,2DRotation-90,8,cross,1,6615
19,7,Rotation,2DRotation-90,8,within,1,4982
19,7,Rotation,2DRotation-90,8,extra,1,6099
19,7,Color,ColourBlue,9,cross,1,7131
19,7,Color,ColourBlue,9,within,1,7915
19,7,Color,ColourBlue,9,extra,1,4165
19,7,Size,Resize2XY,15,cross,1,8331
19,7,Size,Resize2XY,15,within,1,4082
19,7,Size,Resize2XY,15,extra,1,5582
19,7,Reflection,ReflectX,27,cross,1,10015
19,7,Reflection,ReflectX,27,within,1,7965
19,7,Reflection,ReflectX,27,extra,1,6248
20,4,Color,ColourBlue,31,cross,1,56580
20,4,Color,ColourBlue,31,within,1,7520
20,4,Color,ColourBlue,31,extra,1,14154
20,4,Number,Counting+1,44,cross,1,16671
20,4,Number,Counting+1,44,within,0,8820
20,4,Number,Counting+1,44,extra,1,12691
20,4,Number,Counting+2,49,cross,1,23269
20,4,Number,Counting+2,49,within,0,8728
20,4,Number,Counting+2,49,extra,0,12936
20,4,Rotation,2DRotation-90,38,cross,0,63290
20,4,Rotation,2DRotation-90,38,extra,0,27432
20,4,Reflection,ReflectX,14,cross,0,20537
20,4,Reflection,ReflectX,14,extra,1,23167
20,4,Color,ColourRed,33,cross,1,29900
20,4,Color,ColourRed,33,within,0,49312
20,4,Color,ColourRed,33,extra,0,28376
20,4,Reflection,ReflectY,45,cross,1,14173
20,4,Reflection,ReflectY,45,within,0,8489
