ParticipantID,Concept,Transformation,Variation,Task,Score,ReactionTime
12,Number,Counting-2,27,Cross Domain,1,4229
12,Number,Counting-2,27,Within Domain,1,4330
12,Number,Counting-2,27,Extrapolation,1,4662
12,Reflection,ReflectXY,7,Cross Domain,1,3134
12,Reflection,ReflectXY,7,Within Domain,1,9660
12,Reflection,ReflectXY,7,Extrapolation,1,4263
12,Rotation,2DRotation-135,37,Cross Domain,1,4073
12,Rotation,2DRotation-135,37,Within Domain,1,7036
12,Rotation,2DRotation-135,37,Extrapolation,1,7830
12,Size,Resize0.5X,0,Cross Domain,1,2246
12,Size,Resize0.5X,0,Within Domain,1,2069
12,Size,Resize0.5X,0,Extrapolation,1,2410
12,Rotation,2DRotation-45,11,Cross Domain,1,4992
12,Rotation,2DRotation-45,11,Within Domain,1,5393
12,Rotation,2DRotation-45,11,Extrapolation,1,6762
12,Color,ColourGrey,42,Cross Domain,1,3421
12,Color,ColourGrey,42,Within Domain,1,1313
12,Color,ColourGrey,42,Extrapolation,1,1411
12,Size,Resize2Y,1,Cross Domain,1,2599
12,Size,Resize2Y,1,Within Domain,1,2040
12,Size,Resize2Y,1,Extrapolation,1,2330
12,Size,Resize0.5XY,48,Cross Domain,1,2231
12,Size,Resize0.5XY,48,Within Domain,1,1728
12,Size,Resize0.5XY,48,Extrapolation,1,1903
12,Color,ColourRed,7,Cross Domain,1,2486
12,Color,ColourRed,7,Within Domain,1,2171
12,Color,ColourRed,7,Extrapolation,1,2457
12,Number,Counting+1,20,Cross Domain,1,2432
12,Number,Counting+1,20,Within Domain,1,1799
12,Number,Counting+1,20,Extrapolation,1,2514
12,Reflection,ReflectX,12,Cross Domain,1,4222
12,Reflection,ReflectX,12,Within Domain,1,1932
12,Reflection,ReflectX,12,Extrapolation,1,18489
12,Number,Countingd3,5,Cross Domain,1,4973
12,Number,Countingd3,5,Within Domain,1,2735
12,Number,Countingd3,5,Extrapolation,1,5978
12,Reflection,ReflectY,38,Cross Domain,1,2752
12,Reflection,ReflectY,38,Within Domain,1,1455
12,Reflection,ReflectY,38,Extrapolation,1,3220
13,Color,ColourBlue,34,Cross Domain,1,6338
13,Color,ColourBlue,34,Within Domain,1,9814
13,Color,ColourBlue,34,Extrapolation,1,6697
13,Rotation,2DRotation-90,22,Cross Domain,1,6998
13,Rotation,2DRotation-90,22,Within Domain,0,12628
13,Rotation,2DRotation-90,22,Extrapolation,1,6691
13,Number,Countingd3,1,Cross Domain,1,6857
13,Number,Countingd3,1,Within Domain,1,4396
13,Number,Countingd3,1,Extrapolation,1,12241
13,Color,ColourGrey,25,Cross Domain,1,10922
13,Color,ColourGrey,25,Within Domain,1,1299
13,Color,ColourGrey,25,Extrapolation,1,3026
13,Rotation,2DRotation180,33,Cross Domain,1,7470
13,Rotation,2DRotation180,33,Within Domain,1,3369
13,Rotation,2DRotation180,33,Extrapolation,1,12924
13,Reflection,ReflectX,49,Cross Domain,1,3379
13,Reflection,ReflectX,49,Within Domain,1,2927
13,Reflection,ReflectX,49,Extrapolation,1,23125
13,Color,ColourGreen,47,Cross Domain,1,2309
13,Color,ColourGreen,47,Within Domain,1,1400
13,Color,ColourGreen,47,Extrapolation,1,4220
13,Reflection,ReflectY,17,Cross Domain,1,4144
13,Reflection,ReflectY,17,Within Domain,1,2799
13,Reflection,ReflectY,17,Extrapolation,1,3135
13,Rotation,2DRotation-45,44,Cross Domain,1,2804
13,Rotation,2DRotation-45,44,Within Domain,1,3122
13,Rotation,2DRotation-45,44,Extrapolation,1,3441
13,Reflection,ReflectXY,33,Cross Domain,1,2476
13,Reflection,ReflectXY,33,Within Domain,1,4217
13,Reflection,ReflectXY,33,Extrapolation,1,9648
13,Number,Countingd2,26,Cross Domain,1,16793
13,Number,Countingd2,26,Within Domain,1,1834
13,Number,Countingd2,26,Extrapolation,1,7728
13,Size,Resize0.5XY,2,Cross Domain,1,4615
13,Size,Resize0.5XY,2,Within Domain,1,1171
13,Size,Resize0.5XY,2,Extrapolation,1,2434
13,Color,ColourYellow,23,Cross Domain,1,5471
13,Color,ColourYellow,23,Within Domain,1,1173
13,Color,ColourYellow,23,Extrapolation,1,4970
13,Size,Resize0.5Y,17,Cross Domain,1,2842
13,Size,Resize0.5Y,17,Within Domain,0,1941
13,Size,Resize0.5Y,17,Extrapolation,1,1837
13,Rotation,2DRotation+135,47,Cross Domain,1,1983
13,Rotation,2DRotation+135,47,Within Domain,1,14152
13,Rotation,2DRotation+135,47,Extrapolation,0,7970
13,Number,Counting+2,37,Cross Domain,1,9317
13,Number,Counting+2,37,Within Domain,1,3387
13,Number,Counting+2,37,Extrapolation,1,4031
13,Number,Counting-1,15,Cross Domain,1,2308
13,Number,Counting-1,15,Within Domain,1,2857
13,Number,Counting-1,15,Extrapolation,1,2837
13,Size,Resize0.5X,23,Cross Domain,1,2503
13,Size,Resize0.5X,23,Within Domain,1,2531
13,Size,Resize0.5X,23,Extrapolation,1,2036
13,Color,ColourRed,6,Cross Domain,1,9563
13,Color,ColourRed,6,Within Domain,1,1114
13,Color,ColourRed,6,Extrapolation,1,1141
14,Number,Counting+1,18,Cross Domain,1,3918
14,Number,Counting+1,18,Within Domain,1,4930
14,Number,Counting+1,18,Extrapolation,1,4666
14,Rotation,2DRotation180,5,Cross Domain,1,9182
14,Rotation,2DRotation180,5,Within Domain,1,6782
14,Rotation,2DRotation180,5,Extrapolation,1,3432
14,Reflection,ReflectY,7,Cross Domain,1,5400
14,Reflection,ReflectY,7,Within Domain,1,3213
14,Reflection,ReflectY,7,Extrapolation,1,4315
14,Color,ColourGreen,4,Cross Domain,1,5632
14,Color,ColourGreen,4,Within Domain,1,1581
14,Color,ColourGreen,4,Extrapolation,1,7198
14,Number,Counting+2,48,Cross Domain,1,5166
14,Number,Counting+2,48,Within Domain,1,3032
14,Number,Counting+2,48,Extrapolation,1,5515
14,Number,Countingd2,1,Cross Domain,1,8799
14,Number,Countingd2,1,Within Domain,1,6080
14,Number,Countingd2,1,Extrapolation,1,7684
14,Color,ColourGrey,24,Cross Domain,1,2380
14,Color,ColourGrey,24,Within Domain,1,3564
14,Color,ColourGrey,24,Extrapolation,1,3131
14,Color,ColourBlue,8,Cross Domain,1,5582
14,Color,ColourBlue,8,Within Domain,1,1864
14,Color,ColourBlue,8,Extrapolation,1,3097
14,Reflection,ReflectX,2,Cross Domain,1,4098
14,Reflection,ReflectX,2,Within Domain,1,4131
14,Reflection,ReflectX,2,Extrapolation,1,5364
14,Rotation,2DRotation+135,31,Cross Domain,1,7748
14,Rotation,2DRotation+135,31,Within Domain,0,16765
14,Rotation,2DRotation+135,31,Extrapolation,1,12483
14,Rotation,2DRotation+90,43,Cross Domain,1,6948
14,Rotation,2DRotation+90,43,Within Domain,1,3480
14,Rotation,2DRotation+90,43,Extrapolation,1,7449
14,Reflection,ReflectXY,31,Cross Domain,1,7147
14,Reflection,ReflectXY,31,Within Domain,1,21316
14,Reflection,ReflectXY,31,Extrapolation,1,7798
14,Color,ColourRed,35,Cross Domain,1,6865
14,Color,ColourRed,35,Within Domain,1,3647
14,Color,ColourRed,35,Extrapolation,1,2198
14,Rotation,2DRotation-45,21,Cross Domain,1,5630
14,Rotation,2DRotation-45,21,Within Domain,1,4364
14,Rotation,2DRotation-45,21,Extrapolation,1,3947
14,Color,ColourYellow,38,Cross Domain,1,2296
14,Color,ColourYellow,38,Within Domain,1,1014
14,Color,ColourYellow,38,Extrapolation,1,1546
14,Number,Countingd3,49,Cross Domain,1,7846
14,Number,Countingd3,49,Within Domain,1,3848
14,Number,Countingd3,49,Extrapolation,1,1981
14,Size,Resize0.5Y,32,Cross Domain,1,1796
14,Size,Resize0.5Y,32,Within Domain,1,3929
14,Size,Resize0.5Y,32,Extrapolation,1,2497
14,Size,Resize2XY,0,Cross Domain,1,6897
14,Size,Resize2XY,0,Within Domain,1,795
14,Size,Resize2XY,0,Extrapolation,1,8031
14,Size,Resize2X,43,Cross Domain,1,2662
14,Size,Resize2X,43,Within Domain,1,1332
14,Size,Resize2X,43,Extrapolation,1,3012
15,Size,Resize2XY,13,Cross Domain,1,4371
15,Size,Resize2XY,13,Within Domain,1,4318
15,Size,Resize2XY,13,Extrapolation,1,4182
15,Size,Resize0.5X,17,Cross Domain,1,10139
15,Size,Resize0.5X,17,Within Domain,1,2084
15,Size,Resize0.5X,17,Extrapolation,1,2961
15,Rotation,2DRotation+45,1,Cross Domain,1,5091
15,Rotation,2DRotation+45,1,Within Domain,1,4101
15,Rotation,2DRotation+45,1,Extrapolation,1,3515
15,Rotation,2DRotation180,14,Cross Domain,1,2558
15,Rotation,2DRotation180,14,Within Domain,1,8594
15,Rotation,2DRotation180,14,Extrapolation,1,5062
15,Rotation,2DRotation+90,38,Cross Domain,1,2833
15,Rotation,2DRotation+90,38,Within Domain,1,1827
15,Rotation,2DRotation+90,38,Extrapolation,1,2550
15,Size,Resize2Y,35,Cross Domain,1,4025
15,Size,Resize2Y,35,Within Domain,1,2666
15,Size,Resize2Y,35,Extrapolation,1,3299
15,Color,ColourRed,39,Cross Domain,1,2555
15,Color,ColourRed,39,Within Domain,1,1701
15,Color,ColourRed,39,Extrapolation,1,1694
15,Number,Countingd2,35,Cross Domain,1,3095
15,Number,Countingd2,35,Within Domain,1,4926
15,Number,Countingd2,35,Extrapolation,1,4370
15,Reflection,ReflectY,17,Cross Domain,1,2112
15,Reflection,ReflectY,17,Within Domain,1,2812
15,Reflection,ReflectY,17,Extrapolation,1,2690
15,Color,ColourGrey,3,Cross Domain,1,1800
15,Color,ColourGrey,3,Within Domain,1,2029
15,Color,ColourGrey,3,Extrapolation,1,1452
15,Number,Countingx3,42,Cross Domain,1,2502
15,Number,Countingx3,42,Within Domain,1,4708
15,Number,Countingx3,42,Extrapolation,1,2293
15,Number,Counting-1,25,Cross Domain,1,4312
15,Number,Counting-1,25,Within Domain,1,2801
15,Number,Counting-1,25,Extrapolation,1,3689
15,Number,Counting+2,41,Cross Domain,1,4559
15,Number,Counting+2,41,Within Domain,1,5088
15,Number,Counting+2,41,Extrapolation,1,6013
15,Color,ColourYellow,48,Cross Domain,1,1954
15,Color,ColourYellow,48,Within Domain,1,1070
15,Color,ColourYellow,48,Extrapolation,1,1955
15,Color,ColourBlue,0,Cross Domain,1,2142
15,Color,ColourBlue,0,Within Domain,1,2082
15,Color,ColourBlue,0,Extrapolation,1,1699
15,Reflection,ReflectXY,46,Cross Domain,1,1856
15,Reflection,ReflectXY,46,Within Domain,1,8099
15,Reflection,ReflectXY,46,Extrapolation,1,2487
15,Rotation,2DRotation+135,37,Cross Domain,1,2749
15,Rotation,2DRotation+135,37,Within Domain,0,5441
15,Rotation,2DRotation+135,37,Extrapolation,0,3169
15,Reflection,ReflectX,14,Cross Domain,1,2285
15,Reflection,ReflectX,14,Within Domain,0,13557
15,Reflection,ReflectX,14,Extrapolation,1,4550
15,Color,ColourGreen,43,Cross Domain,1,1385
15,Color,ColourGreen,43,Within Domain,1,1053
15,Color,ColourGreen,43,Extrapolation,1,852
16,Color,ColourYellow,19,Cross Domain,1,2398
16,Color,ColourYellow,19,Within Domain,1,2182
16,Color,ColourYellow,19,Extrapolation,1,3782
16,Color,ColourBlue,15,Cross Domain,1,2214
16,Color,ColourBlue,15,Within Domain,1,2118
16,Color,ColourBlue,15,Extrapolation,1,1598
16,Reflection,ReflectXY,39,Cross Domain,1,3902
16,Reflection,ReflectXY,39,Within Domain,1,5935
16,Reflection,ReflectXY,39,Extrapolation,1,4703
16,Size,Resize0.5XY,19,Cross Domain,1,1614
16,Size,Resize0.5XY,19,Within Domain,1,1134
16,Size,Resize0.5XY,19,Extrapolation,1,1455
16,Reflection,ReflectY,12,Cross Domain,1,1990
16,Reflection,ReflectY,12,Within Domain,1,1190
16,Reflection,ReflectY,12,Extrapolation,1,2398
16,Reflection,ReflectX,5,Cross Domain,1,2150
16,Reflection,ReflectX,5,Within Domain,1,4150
16,Reflection,ReflectX,5,Extrapolation,1,2022
16,Number,Counting-2,25,Cross Domain,1,2109
16,Number,Counting-2,25,Within Domain,1,3022
16,Number,Counting-2,25,Extrapolation,1,4918
16,Size,Resize0.5X,6,Cross Domain,1,2366
16,Size,Resize0.5X,6,Within Domain,1,2366
16,Size,Resize0.5X,6,Extrapolation,1,2526
16,Number,Countingx3,9,Cross Domain,1,3757
16,Number,Countingx3,9,Within Domain,1,5814
16,Number,Countingx3,9,Extrapolation,1,2694
16,Color,ColourGreen,14,Cross Domain,1,1709
16,Color,ColourGreen,14,Within Domain,1,1854
16,Color,ColourGreen,14,Extrapolation,1,1374
16,Number,Counting+1,42,Cross Domain,1,1438
16,Number,Counting+1,42,Within Domain,1,1846
16,Number,Counting+1,42,Extrapolation,1,2382
16,Size,Resize2Y,34,Cross Domain,1,1510
16,Size,Resize2Y,34,Within Domain,1,2109
16,Size,Resize2Y,34,Extrapolation,1,2166
16,Rotation,2DRotation180,30,Cross Domain,1,2750
16,Rotation,2DRotation180,30,Within Domain,1,9069
16,Rotation,2DRotation180,30,Extrapolation,1,6558
16,Color,ColourGrey,3,Cross Domain,1,2173
16,Color,ColourGrey,3,Within Domain,1,1215
16,Color,ColourGrey,3,Extrapolation,1,1516
16,Rotation,2DRotation+135,28,Cross Domain,1,3149
16,Rotation,2DRotation+135,28,Within Domain,0,3885
16,Rotation,2DRotation+135,28,Extrapolation,0,5158
16,Color,ColourRed,41,Cross Domain,1,1597
16,Color,ColourRed,41,Within Domain,1,829
16,Color,ColourRed,41,Extrapolation,1,909
16,Rotation,2DRotation-90,30,Cross Domain,1,2565
16,Rotation,2DRotation-90,30,Within Domain,1,4389
16,Rotation,2DRotation-90,30,Extrapolation,1,12661
16,Number,Countingd2,34,Cross Domain,1,2989
16,Number,Countingd2,34,Within Domain,0,4181
16,Number,Countingd2,34,Extrapolation,1,4093
16,Rotation,2DRotation+45,46,Cross Domain,1,2221
16,Rotation,2DRotation+45,46,Within Domain,1,1421
16,Rotation,2DRotation+45,46,Extrapolation,1,4326
17,Rotation,2DRotation+135,32,Cross Domain,1,7619
17,Rotation,2DRotation+135,32,Within Domain,1,20155
17,Rotation,2DRotation+135,32,Extrapolation,1,21182
17,Color,ColourGreen,22,Cross Domain,1,2936
17,Color,ColourGreen,22,Within Domain,1,2644
17,Color,ColourGreen,22,Extrapolation,1,3854
17,Reflection,ReflectXY,6,Cross Domain,1,5173
17,Reflection,ReflectXY,6,Within Domain,0,12562
17,Reflection,ReflectXY,6,Extrapolation,1,9540
17,Number,Counting-1,24,Cross Domain,1,7948
17,Number,Counting-1,24,Within Domain,1,2549
17,Number,Counting-1,24,Extrapolation,1,3624
17,Color,ColourRed,49,Cross Domain,1,1858
17,Color,ColourRed,49,Within Domain,1,1150
17,Color,ColourRed,49,Extrapolation,1,1738
17,Rotation,2DRotation180,24,Cross Domain,1,3544
17,Rotation,2DRotation180,24,Within Domain,0,3535
17,Rotation,2DRotation180,24,Extrapolation,1,4641
17,Rotation,2DRotation-45,34,Cross Domain,1,1812
17,Rotation,2DRotation-45,34,Within Domain,1,4028
17,Rotation,2DRotation-45,34,Extrapolation,1,3579
17,Color,ColourGrey,13,Cross Domain,1,1321
17,Color,ColourGrey,13,Within Domain,1,1534
17,Color,ColourGrey,13,Extrapolation,1,1096
17,Rotation,2DRotation-90,44,Cross Domain,1,1610
17,Rotation,2DRotation-90,44,Within Domain,1,8164
17,Rotation,2DRotation-90,44,Extrapolation,1,4988
17,Color,ColourYellow,38,Cross Domain,1,2042
17,Color,ColourYellow,38,Within Domain,1,909
17,Color,ColourYellow,38,Extrapolation,1,728
17,Number,Countingx2,35,Cross Domain,1,4196
17,Number,Countingx2,35,Within Domain,1,2017
17,Number,Countingx2,35,Extrapolation,1,2039
17,Number,Counting-2,39,Cross Domain,1,1973
17,Number,Counting-2,39,Within Domain,1,3102
17,Number,Counting-2,39,Extrapolation,1,6407
17,Color,ColourBlue,23,Cross Domain,1,1502
17,Color,ColourBlue,23,Within Domain,1,980
17,Color,ColourBlue,23,Extrapolation,1,1066
17,Size,Resize2X,28,Cross Domain,1,2126
17,Size,Resize2X,28,Within Domain,1,3513
17,Size,Resize2X,28,Extrapolation,1,4085
17,Reflection,ReflectX,32,Cross Domain,1,1653
17,Reflection,ReflectX,32,Within Domain,1,4247
17,Reflection,ReflectX,32,Extrapolation,1,3714
17,Size,Resize2Y,5,Cross Domain,1,2283
17,Size,Resize2Y,5,Within Domain,1,1484
17,Size,Resize2Y,5,Extrapolation,1,4568
17,Size,Resize2XY,37,Cross Domain,1,2134
17,Size,Resize2XY,37,Within Domain,1,1590
17,Size,Resize2XY,37,Extrapolation,1,1557
17,Reflection,ReflectY,31,Cross Domain,1,1428
17,Reflection,ReflectY,31,Within Domain,1,1461
17,Reflection,ReflectY,31,Extrapolation,1,3414
17,Number,Countingx3,40,Cross Domain,1,1920
17,Number,Countingx3,40,Within Domain,1,4597
17,Number,Countingx3,40,Extrapolation,1,2535
18,Size,Resize2Y,11,Cross Domain,1,3075
18,Size,Resize2Y,11,Within Domain,1,7224
18,Size,Resize2Y,11,Extrapolation,1,4528
18,Reflection,ReflectY,48,Cross Domain,1,3404
18,Reflection,ReflectY,48,Within Domain,1,2393
18,Reflection,ReflectY,48,Extrapolation,1,8550
18,Size,Resize2X,25,Cross Domain,1,2950
18,Size,Resize2X,25,Within Domain,1,1422
18,Size,Resize2X,25,Extrapolation,1,2404
18,Rotation,2DRotation+135,16,Cross Domain,1,4416
18,Rotation,2DRotation+135,16,Within Domain,1,4689
18,Rotation,2DRotation+135,16,Extrapolation,0,6607
18,Color,ColourYellow,5,Cross Domain,1,2320
18,Color,ColourYellow,5,Within Domain,1,1436
18,Color,ColourYellow,5,Extrapolation,1,2916
18,Number,Countingd3,13,Cross Domain,1,3826
18,Number,Countingd3,13,Within Domain,0,1919
18,Number,Countingd3,13,Extrapolation,1,14103
18,Reflection,ReflectXY,7,Cross Domain,1,3770
18,Reflection,ReflectXY,7,Within Domain,1,3336
18,Reflection,ReflectXY,7,Extrapolation,0,3685
18,Rotation,2DRotation+90,14,Cross Domain,1,3642
18,Rotation,2DRotation+90,14,Within Domain,1,2801
18,Rotation,2DRotation+90,14,Extrapolation,1,2591
18,Color,ColourBlue,41,Cross Domain,1,1517
18,Color,ColourBlue,41,Within Domain,1,2590
18,Color,ColourBlue,41,Extrapolation,1,1899
18,Color,ColourRed,45,Cross Domain,1,4046
18,Color,ColourRed,45,Within Domain,1,1287
18,Color,ColourRed,45,Extrapolation,1,1278
18,Color,ColourGreen,17,Cross Domain,1,1859
18,Color,ColourGreen,17,Within Domain,1,989
18,Color,ColourGreen,17,Extrapolation,1,1428
18,Number,Countingx2,19,Cross Domain,1,1790
18,Number,Countingx2,19,Within Domain,1,1595
18,Number,Countingx2,19,Extrapolation,1,2181
18,Size,Resize0.5XY,34,Cross Domain,1,1816
18,Size,Resize0.5XY,34,Within Domain,1,909
18,Size,Resize0.5XY,34,Extrapolation,1,1673
18,Number,Counting-1,35,Cross Domain,1,2825
18,Number,Counting-1,35,Within Domain,1,3694
18,Number,Counting-1,35,Extrapolation,1,3415
18,Reflection,ReflectX,38,Cross Domain,1,3272
18,Reflection,ReflectX,38,Within Domain,1,2422
18,Reflection,ReflectX,38,Extrapolation,1,3350
18,Rotation,2DRotation-45,21,Cross Domain,1,2612
18,Rotation,2DRotation-45,21,Within Domain,0,4295
18,Rotation,2DRotation-45,21,Extrapolation,0,2460
18,Color,ColourGrey,48,Cross Domain,1,1827
18,Color,ColourGrey,48,Within Domain,1,897
18,Color,ColourGrey,48,Extrapolation,1,1104
18,Number,Counting+2,14,Cross Domain,1,1687
18,Number,Counting+2,14,Within Domain,1,2093
18,Number,Counting+2,14,Extrapolation,1,7082
18,Rotation,2DRotation180,33,Cross Domain,1,1681
18,Rotation,2DRotation180,33,Within Domain,1,6087
18,Rotation,2DRotation180,33,Extrapolation,1,3669
19,Rotation,2DRotation180,44,Cross Domain,1,9298
19,Rotation,2DRotation180,44,Within Domain,1,6965
19,Rotation,2DRotation180,44,Extrapolation,1,37853
19,Number,Countingd3,48,Cross Domain,1,8820
19,Number,Countingd3,48,Within Domain,1,22501
19,Number,Countingd3,48,Extrapolation,1,9869
19,Size,Resize0.5Y,15,Cross Domain,0,16490
19,Size,Resize0.5Y,15,Extrapolation,1,8408
19,Color,ColourGreen,40,Cross Domain,1,3117
19,Color,ColourGreen,40,Within Domain,1,2044
19,Color,ColourGreen,40,Extrapolation,1,6269
19,Size,Resize2XY,4,Cross Domain,1,2828
19,Size,Resize2XY,4,Within Domain,1,1768
19,Size,Resize2XY,4,Extrapolation,1,7436
19,Color,ColourGrey,22,Cross Domain,1,4247
19,Color,ColourGrey,22,Within Domain,1,2414
19,Color,ColourGrey,22,Extrapolation,1,3489
19,Reflection,ReflectY,13,Cross Domain,1,10339
19,Reflection,ReflectY,13,Within Domain,1,3369
19,Reflection,ReflectY,13,Extrapolation,1,11101
19,Number,Countingd2,40,Cross Domain,0,4317
19,Number,Countingd2,40,Extrapolation,1,45139
19,Rotation,2DRotation+135,34,Cross Domain,1,3865
19,Rotation,2DRotation+135,34,Within Domain,0,14554
19,Rotation,2DRotation+135,34,Extrapolation,1,4691
19,Color,ColourBlue,35,Cross Domain,1,2902
19,Color,ColourBlue,35,Within Domain,1,1787
19,Color,ColourBlue,35,Extrapolation,1,2095
19,Reflection,ReflectX,24,Cross Domain,1,3678
19,Reflection,ReflectX,24,Within Domain,1,3894
19,Reflection,ReflectX,24,Extrapolation,1,3695
19,Reflection,ReflectXY,31,Cross Domain,1,2940
19,Reflection,ReflectXY,31,Within Domain,1,3162
19,Reflection,ReflectXY,31,Extrapolation,0,10449
19,Number,Counting-1,4,Cross Domain,1,7071
19,Number,Counting-1,4,Within Domain,1,20043
19,Number,Counting-1,4,Extrapolation,1,3680
19,Color,ColourRed,4,Cross Domain,1,4002
19,Color,ColourRed,4,Within Domain,1,1978
19,Color,ColourRed,4,Extrapolation,1,1337
19,Number,Counting-2,30,Cross Domain,1,4340
19,Number,Counting-2,30,Within Domain,1,5633
19,Number,Counting-2,30,Extrapolation,1,6143
19,Size,Resize2X,13,Cross Domain,1,14702
19,Size,Resize2X,13,Within Domain,1,6902
19,Size,Resize2X,13,Extrapolation,1,3474
19,Rotation,2DRotation-45,15,Cross Domain,1,3304
19,Rotation,2DRotation-45,15,Within Domain,1,17338
19,Rotation,2DRotation-45,15,Extrapolation,1,5817
19,Rotation,2DRotation-90,2,Cross Domain,1,5261
19,Rotation,2DRotation-90,2,Within Domain,1,11536
19,Rotation,2DRotation-90,2,Extrapolation,0,7213
19,Color,ColourYellow,21,Cross Domain,1,5038
19,Color,ColourYellow,21,Within Domain,1,2185
19,Color,ColourYellow,21,Extrapolation,1,1254
2,Number,Countingx2,45,Cross Domain,1,8353
2,Number,Countingx2,45,Within Domain,0,8512
2,Number,Countingx2,45,Extrapolation,1,11818
2,Number,Counting+1,34,Cross Domain,1,5488
2,Number,Counting+1,34,Within Domain,1,2377
2,Number,Counting+1,34,Extrapolation,1,4124
2,Size,Resize0.5X,33,Cross Domain,1,2451
2,Size,Resize0.5X,33,Within Domain,1,2639
2,Size,Resize0.5X,33,Extrapolation,1,4799
2,Number,Counting-2,39,Cross Domain,1,2908
2,Number,Counting-2,39,Within Domain,1,2295
2,Number,Counting-2,39,Extrapolation,1,4678
2,Rotation,2DRotation-135,9,Cross Domain,1,2683
2,Rotation,2DRotation-135,9,Within Domain,1,7867
2,Rotation,2DRotation-135,9,Extrapolation,1,7964
2,Rotation,2DRotation+45,3,Cross Domain,1,3485
2,Rotation,2DRotation+45,3,Within Domain,1,1791
2,Rotation,2DRotation+45,3,Extrapolation,1,3470
2,Rotation,2DRotation180,28,Cross Domain,1,3103
